,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
149,Port Angeles,1,US,1622314863,69,48.1181,-123.4307,65.7,3.44
150,Souillac,7,MU,1622314865,89,-20.5167,57.5167,74.35,6.44
151,Hithadhoo,61,MV,1622315019,72,-0.6,73.0833,83.61,17.58
152,Severo-Kuril'sk,100,RU,1622314821,88,50.6789,156.125,39.94,6.11
153,Hasaki,100,JP,1622315019,82,35.7333,140.8333,66.6,1.1
154,Port Alfred,99,ZA,1622315020,75,-33.5906,26.891,61.68,29.12
155,Canutama,78,BR,1622315020,53,-6.5339,-64.3831,89.69,3.18
156,Port Augusta,0,AU,1622315020,56,-32.5,137.7667,42.71,4.76
157,Lagoa,17,PT,1622315021,73,39.05,-27.9833,63.9,8.01
158,Iquitos,82,PE,1622315021,46,-3.7481,-73.2472,92.14,0.94
159,Lompoc,90,US,1622314983,76,34.6391,-120.4579,68.31,16.11
160,Melton,10,AU,1622315021,88,-37.6833,144.5833,45.28,1.83
161,Pevek,0,RU,1622315022,60,69.7008,170.3133,41.5,10.76
162,Codrington,3,AU,1622315023,94,-38.2667,141.9667,39.9,6.49
163,Jinsha,71,CN,1622315023,80,32.0898,121.0735,74.01,5.41
164,Bethel,100,US,1622315023,89,41.3712,-73.414,50.02,1.99
165,Wajima,93,JP,1622315024,81,37.4,136.9,58.59,6.04
166,Cape Town,4,ZA,1622315024,86,-33.9258,18.4232,60.28,1.01
167,Nakamura,92,JP,1622315024,67,32.9833,132.9333,58.78,4.29
168,Camacha,40,PT,1622315025,73,33.0833,-16.3333,66.96,14.97
169,Yamoussoukro,95,CI,1622315025,85,6.8206,-5.2767,77.43,4.74
170,San Joaquin,1,US,1622315026,46,37.9333,-121.3011,80.55,10.36
171,Yellowknife,98,CA,1622314810,46,62.456,-114.3525,53.33,1.99
172,Gushikawa,100,JP,1622315026,92,26.3544,127.8686,70.83,15.08
173,Nouadhibou,93,MR,1622315026,86,20.931,-17.0347,66.99,22.75
174,George Town,20,MY,1622314787,85,5.4112,100.3354,84.13,3.44
175,Kapustin Yar,56,RU,1622315027,64,48.5831,45.7372,71.29,2.8
176,Mount Isa,0,AU,1622315027,43,-20.7333,139.5,51.57,6.91
177,Delījān,18,IR,1622315027,12,33.9905,50.6838,83.08,7.07
178,Macao,40,MO,1622314992,89,22.2006,113.5461,86.13,13.8
179,Aswān,99,EG,1622315028,17,24.0934,32.907,93.69,15.95
180,Makkah al Mukarramah,14,SA,1622314790,43,21.4267,39.8261,90.57,7.2
181,Rabo de Peixe,40,PT,1622315028,72,37.8,-25.5833,65.71,6.93
182,Norman Wells,100,CA,1622315028,79,65.282,-126.8329,36.91,6.15
183,Kahului,10,US,1622315029,69,20.8947,-156.47,81.97,8.01
184,Chernyshevskiy,36,RU,1622315029,84,63.0128,112.4714,47.28,2.66
185,Sand Springs,1,US,1622314969,59,36.1398,-96.1089,67.71,6.91
186,College,57,US,1622315029,50,64.8569,-147.8028,46.58,4.0
187,Whitianga,59,NZ,1622315030,89,-36.8333,175.7,50.02,6.98
188,Port Blair,100,IN,1622315030,83,11.6667,92.75,81.27,6.17
189,Boa Vista,75,BR,1622314744,83,2.8197,-60.6733,80.58,12.66
190,Raudeberg,27,NO,1622315030,83,61.9875,5.1352,56.95,4.63
191,Rundu,0,NA,1622315031,26,-17.9333,19.7667,60.71,3.98
